index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
6,Typst makes big strides,"19 comments · a11y, programming",110,https://lwn.net/Articles/1092993/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T08:14:17.568-05:00,2026-09-20 02:23:28
7,“The Secret Life of Circuits” is here,2 comments · hardware,14,https://blog.coredump.cx/p/the-secret-life-of-circuits-is-here,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:12:18.763-05:00,2026-09-20 02:23:28
8,What happens to TLDs when their country stops existing? (2022),2 comments · web,11,https://astrid.tech/2022/04/05/0/dead-tlds/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:53:28.060-05:00,2026-09-20 02:23:28
9,GPT-6 Astra Solves a WWI German Radio Cipher,"8 comments · cryptography, vibecoding",10,https://www.prinzai.com/p/gpt-6-astra-solves-a-wwi-german-radio,,Lobsters,Hottest,hottest,hotlist,2026-09-19T03:44:38.517-05:00,2026-09-20 02:23:28
10,Reviving the language that brought us the Jak & Daxter Series,"1 comments · games, lisp",10,https://opengoal.dev/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:28:49.182-05:00,2026-09-20 02:23:28
11,Write while learning,3 comments · practices,16,https://purplesyringa.moe/blog/write-while-learning/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T01:56:24.938-05:00,2026-09-20 02:23:28
12,I don't like passkeys,44 comments · security,68,https://hawksley.dev/blog/i-dont-like-passkeys,,Lobsters,Hottest,hottest,hotlist,2026-09-18T07:52:18.949-05:00,2026-09-20 02:23:28
13,There's no point at which turning your brain off will work,12 comments · vibecoding,41,https://danluu.com/brain-off/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T12:15:40.357-05:00,2026-09-20 02:23:28
14,Faster JSON parsing with SVE2 on ARM processors,"1 comments · assembly, performance",6,https://lemire.me/blog/2026/09/18/faster-json-parsing-with-sve2-on-arm-processors/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:10:09.421-05:00,2026-09-20 02:23:28
15,Secure VMs for Kubernetes: Hardening Kata containers,"0 comments · devops, security, vibecoding, virtualization",2,https://srcreigh.ca/posts/auditable-kata/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T12:11:45.363-05:00,2026-09-20 02:23:28
16,Saving another 100TB of RAM with math (and Rust),"0 comments · performance, rust",27,https://blog.cloudflare.com/saving-100-tb-of-ram-with-math/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T19:28:07.954-05:00,2026-09-20 02:23:28
17,LispBM: Concurrent Lisp for Microcontrollers,"0 comments · hardware, lisp",8,https://www.lispbm.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:36:56.503-05:00,2026-09-20 02:23:28
18,Benchmarking Wild vs Mold,"6 comments · compilers, performance",51,https://davidlattimore.github.io/posts/2026/09/18/benchmarking-wild-vs-mold.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:25:08.333-05:00,2026-09-20 02:23:28
19,Consistent Hashing Proofs,"0 comments · compsci, math",4,https://ch.terabyteoff.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:24:51.480-05:00,2026-09-20 02:23:28
20,CSS-Tricks could be a co-op,"2 comments · css, culture",40,https://ericwbailey.website/published/css-tricks-could-be-a-co-op/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T17:11:51.364-05:00,2026-09-20 02:23:28
21,OpenLoco version 26.09,"0 comments · c++, games, release",10,https://openloco.io/news/2026/09/openloco-v26.09.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T23:22:19.845-05:00,2026-09-20 02:23:28
22,Laya — 33ms Multilingual System 1 Decision Engine,"1 comments · ai, science",1,https://laya.convaiinnovations.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T11:31:05.897-05:00,2026-09-20 02:23:28
23,What is still exciting in tech?,"204 comments · ask, culture",154,https://lobste.rs/s/lcjf7c,,Lobsters,Hottest,hottest,hotlist,2026-09-18T03:14:52.256-05:00,2026-09-20 02:23:28
24,"FAQ: Why isn’t mutable a subtype of immutable, or vice versa?",4 comments · plt,20,https://crumbles.blog/posts/2026-09-17-immutable-mutable.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:30:01.511-05:00,2026-09-20 02:23:28
25,"Vale, code-like linting for prose","6 comments · practices, vibecoding",9,https://vale.sh,,Lobsters,Hottest,hottest,hotlist,2026-09-18T15:38:52.432-05:00,2026-09-20 02:23:28
1,Don’t Let Architecture Astronauts Scare You (2001),13 comments · programming,25,https://www.joelonsoftware.com/2001/04/21/dont-let-architecture-astronauts-scare-you/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:08:52.631-05:00,2026-09-20 03:15:54
2,AI Is an Elite Crime Spree,3 comments · law,15,https://www.thebignewsletter.com/p/ai-is-an-elite-crime-spree,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:44:52.572-05:00,2026-09-20 03:15:54
3,"I Built Non-Autoregressive Decision Models a Year Ago. Then a Frontier Lab Called It a ""Breakthrough""",1 comments · ai,24,https://dev.to/nandakishor_m_6cc0adfde9f/i-built-non-autoregressive-decision-models-a-year-ago-then-a-frontier-lab-called-it-a-18me,,Lobsters,Hottest,hottest,hotlist,2026-09-19T08:41:57.630-05:00,2026-09-20 03:15:54
4,kicking the tires on jev (TypeSafe's System One model) with 2048,"2 comments · ai, games",9,https://gist.github.com/cablehead/bdf9ad946ceb26d9008976e49c9bfbbb,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:38:11.952-05:00,2026-09-20 03:15:54
5,The scourge of x86 emulation,0 comments · hardware,50,https://fex-emu.com/Scourge-of-emulation/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T00:01:05.094-05:00,2026-09-20 03:15:54
6,“The Secret Life of Circuits” is here,3 comments · hardware,16,https://blog.coredump.cx/p/the-secret-life-of-circuits-is-here,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:12:18.763-05:00,2026-09-20 03:15:54
7,Typst makes big strides,"19 comments · a11y, programming",110,https://lwn.net/Articles/1092993/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T08:14:17.568-05:00,2026-09-20 03:15:54
8,What happens to TLDs when their country stops existing? (2022),3 comments · web,12,https://astrid.tech/2022/04/05/0/dead-tlds/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:53:28.060-05:00,2026-09-20 03:15:54
9,Write while learning,3 comments · practices,18,https://purplesyringa.moe/blog/write-while-learning/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T01:56:24.938-05:00,2026-09-20 03:15:54
10,GPT-6 Astra Solves a WWI German Radio Cipher,"8 comments · cryptography, vibecoding",10,https://www.prinzai.com/p/gpt-6-astra-solves-a-wwi-german-radio,,Lobsters,Hottest,hottest,hotlist,2026-09-19T03:44:38.517-05:00,2026-09-20 03:15:54
11,Reviving the language that brought us the Jak & Daxter Series,"1 comments · games, lisp",10,https://opengoal.dev/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:28:49.182-05:00,2026-09-20 03:15:54
12,I don't like passkeys,46 comments · security,68,https://hawksley.dev/blog/i-dont-like-passkeys,,Lobsters,Hottest,hottest,hotlist,2026-09-18T07:52:18.949-05:00,2026-09-20 03:15:54
13,There's no point at which turning your brain off will work,12 comments · vibecoding,41,https://danluu.com/brain-off/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T12:15:40.357-05:00,2026-09-20 03:15:54
14,Faster JSON parsing with SVE2 on ARM processors,"1 comments · assembly, performance",6,https://lemire.me/blog/2026/09/18/faster-json-parsing-with-sve2-on-arm-processors/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:10:09.421-05:00,2026-09-20 03:15:54
15,LispBM: Concurrent Lisp for Microcontrollers,"0 comments · hardware, lisp",9,https://www.lispbm.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:36:56.503-05:00,2026-09-20 03:15:54
16,Secure VMs for Kubernetes: Hardening Kata containers,"0 comments · devops, security, vibecoding, virtualization",2,https://srcreigh.ca/posts/auditable-kata/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T12:11:45.363-05:00,2026-09-20 03:15:54
17,Saving another 100TB of RAM with math (and Rust),"0 comments · performance, rust",27,https://blog.cloudflare.com/saving-100-tb-of-ram-with-math/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T19:28:07.954-05:00,2026-09-20 03:15:54
18,Benchmarking Wild vs Mold,"6 comments · compilers, performance",51,https://davidlattimore.github.io/posts/2026/09/18/benchmarking-wild-vs-mold.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:25:08.333-05:00,2026-09-20 03:15:54
19,Consistent Hashing Proofs,"0 comments · compsci, math",4,https://ch.terabyteoff.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:24:51.480-05:00,2026-09-20 03:15:54
20,CSS-Tricks could be a co-op,"2 comments · css, culture",40,https://ericwbailey.website/published/css-tricks-could-be-a-co-op/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T17:11:51.364-05:00,2026-09-20 03:15:54
21,OpenLoco version 26.09,"0 comments · c++, games, release",11,https://openloco.io/news/2026/09/openloco-v26.09.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T23:22:19.845-05:00,2026-09-20 03:15:54
22,Laya — 33ms Multilingual System 1 Decision Engine,"1 comments · ai, science",1,https://laya.convaiinnovations.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T11:31:05.897-05:00,2026-09-20 03:15:54
23,What is still exciting in tech?,"205 comments · ask, culture",155,https://lobste.rs/s/lcjf7c,,Lobsters,Hottest,hottest,hotlist,2026-09-18T03:14:52.256-05:00,2026-09-20 03:15:54
24,Persistent Databases in the Browser with DuckDB-Wasm and OPFS,0 comments · databases,1,https://duckdb.org/2026/09/18/opfs-wasm,,Lobsters,Hottest,hottest,hotlist,2026-09-19T13:46:39.713-05:00,2026-09-20 03:15:54
25,Thread-identity switcheroo for io_uring,"0 comments · linux, performance",1,https://lwn.net/SubscriberLink/1094303/50affb2e7bd3e698/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T13:42:48.947-05:00,2026-09-20 03:15:54
