index,title,desc,hot,url,image,source,type,datetime
11,8.9万成“加盟”商，星巴克对抗星巴克？,,5243,https://www.36kr.com/p/3970051041014277,https://img.36krcdn.com/hsossms/20260905/v2_523bebf975ee4beb999c7de7dd4f752a@000000@ai_oswg1047361oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
12,中国开源模型，正成为全球 AI 的“度量衡”,,5151,https://www.36kr.com/p/3970014644295303,"https://img.36krcdn.com/hsossms/20260905/v2_614c7c6f0c0a4b679ef5f906069f6a7f@6181939_oswg141855oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
13,李斌：AI给汽车行业带来三重暴击，蔚来价值被市场低估,,4673,https://www.36kr.com/p/3970150442709510,https://img.36krcdn.com/hsossms/20260905/v2_5dc74a0fcf3a434d98d4130cc32a1763@000000@ai_oswg1070774oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
14,服饰行业终于有了新故事：从老外反向代购，到把店开到巴黎,,4242,https://www.36kr.com/p/3969287628199814,"https://img.36krcdn.com/hsossms/20260905/v2_b629624722994d5799656b46f9306cc4@000000_oswg55403oswg889oswg377_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
15,万元AI研学营，正在批量收割家长,,3796,https://www.36kr.com/p/3969834502238723,https://img.36krcdn.com/hsossms/20260905/v2_81b4611fa5f845e0b3a59d5281741456@000000@ai_oswg813024oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
16,一口气上5款，销量Top5，茶颜悦色和这种水果“杠上了”,,3688,https://www.36kr.com/p/3969839868211720,https://img.36krcdn.com/hsossms/20260905/v2_ecd1f78d0c334d9dadf56fcca8dfee59@000000@ai_oswg548204oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
17,直击IFA 2026｜别谈具身和AI，欧洲不相信「黑科技」,,3611,https://www.36kr.com/p/3970179970036225,"https://img.36krcdn.com/hsossms/20260905/v2_f7c2191e92944f81a530bec87f73ce1b@6022551_oswg174626oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
18,疯狂买买买，英伟达的野心何在？,,3233,https://www.36kr.com/p/3969937894387972,https://img.36krcdn.com/hsossms/20260905/v2_0bf591a435954b36a7b91fbfa9de4367@000000@ai_oswg1323789oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
19,解密万兴科技：海外收入超90%   回国练兵布局AI影视新赛道,,3195,https://www.36kr.com/p/3970160043913734,"https://img.36krcdn.com/hsossms/20260905/v2_e9d870375c61418c81245406df009072@6062546_oswg821608oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
20,中企第一的海尔智家，IFA2026又全面迭代AI,,2517,https://www.36kr.com/p/3969815572623874,https://img.36krcdn.com/hsossms/20260905/v2_76fde43d3f9f46e5878b31d7f5f5aff6@000000@ai_oswg624334oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
21,之禾、PANE们突围，离“中国奢侈品”又近一步,,1208,https://www.36kr.com/p/3970605943927040,"https://img.36krcdn.com/hsossms/20260905/v2_d4a8f6093f5048d1b319aea9ca8b3015@19153231_oswg278802oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
22,群星集结海岛逐浪，9月11日《PEL奇遇时光三亚篇》斗鱼直播重磅开启,,1024,https://www.36kr.com/p/3968898900095491,https://img.36krcdn.com/hsossms/20260904/v2_eb2f222f057c48728b71a528484daab8@16519798_oswg585267oswg600oswg400_img_png,36氪,热榜,2026-09-06 02:22:15
